Gene_symbol,CRO-AP2,DB,GRANTA-519,JM1,JSC-1,KARPAS-1106P,KARPAS-422,NU-DUL-1,OCI-LY7,RC-K8,SCC-3,SLVL,SU-DHL-4,SU-DHL-8,TK,TUR,WSU-DLCL2
Null,Sensitive,Resistive,Resistive,Sensitive,Resistive,Sensitive,Resistive,Sensitive,Sensitive,Resistive,Sensitive,Sensitive,Sensitive,Resistive,Resistive,Resistive,Sensitive
ABHD14A,15.43,8.63,2.55,4.41,19.74,6.4,24.12,5.55,4.89,3.84,5.86,2.55,7.44,4.74,6.15,12.85,14.58
ABHD14A-ACY1,0.26,0.53,0.44,0.3,0.43,0.25,3.28,0.7,0.16,0.17,0.37,0.09,0.59,0.3,0.04,0.59,0.16
ABHD14B,50.28,41.46,41.25,29.53,30.44,79.0,124.61,43.32,27.04,34.73,67.96,57.91,70.43,20.36,37.05,149.09,76.77
ABHD15,27.38,8.14,5.03,89.23,60.29,17.41,38.46,71.85,15.5,8.08,8.21,13.6,19.02,24.02,37.05,16.35,24.2
ABHD15-AS1,1.42,0.0,0.0,0.0,0.8,1.36,0.0,0.0,1.5,1.32,0.87,0.34,0.0,0.0,1.09,0.69,0.0
ABHD16A,8.23,5.36,3.6,7.83,6.86,4.5,13.14,2.37,3.96,1.89,4.72,2.64,4.72,6.75,3.49,7.45,5.1
ABHD16B,0.4,0.0,0.0,0.0,0.67,0.89,0.0,0.0,1.28,0.3,0.9,0.34,0.0,0.0,0.34,0.17,0.2
ABHD17A,52.29,33.17,41.08,32.11,64.33,38.71,43.89,27.94,51.88,26.52,27.74,26.98,40.98,22.54,39.52,38.27,45.13
ABHD17AP1,0.23,0.34,0.51,0.3,0.37,0.25,0.84,0.7,0.19,0.23,0.13,0.16,0.36,0.44,0.34,0.1,0.23
ABHD17AP3,0.07,0.04,0.07,0.15,0.03,0.07,0.0,0.28,0.48,0.1,0.03,0.0,0.07,0.03,0.15,0.03,0.0
ABHD17AP4,0.0,1.03,4.56,0.19,0.07,0.04,0.0,0.21,0.06,0.0,0.0,0.03,0.0,0.07,0.49,0.03,1.22
ABHD17AP5,0.1,3.42,6.9,0.49,0.17,0.04,0.0,0.49,5.66,0.07,0.07,0.03,0.2,0.94,1.72,0.1,4.58
ABHD17AP6,0.26,0.19,0.27,0.04,0.4,0.14,0.08,0.0,0.16,0.1,0.1,0.12,0.1,0.0,0.07,0.14,0.26
ABHD17AP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17AP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17B,55.07,43.97,27.61,39.64,33.39,18.23,11.34,56.47,55.59,21.92,18.59,17.64,15.38,34.33,52.08,34.77,29.89
ABHD17C,24.28,1.33,9.66,16.76,14.22,9.22,1.64,33.03,0.32,8.94,136.63,1.49,0.75,9.24,12.82,66.01,0.46
ABHD18,19.62,14.99,12.92,22.65,15.05,12.12,27.28,15.83,11.06,16.49,11.49,8.57,12.66,13.37,14.96,20.16,16.26
ABI1,45.98,175.34,138.4,57.84,39.81,167.34,99.13,92.39,90.37,46.41,42.57,79.84,129.84,74.54,83.73,57.49,198.48
ABI1P1,0.0,0.15,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.0,0.0,0.0,0.0
ABI2,2.05,11.87,5.24,8.47,7.56,4.93,17.81,2.96,9.17,6.82,11.66,10.34,0.72,12.8,15.79,4.64,4.41
ABI3,20.94,93.72,14.01,1.48,2.01,24.59,63.9,0.91,37.66,0.03,0.03,66.7,66.82,1.38,0.94,4.16,33.05
ABI3BP,4.46,0.04,0.2,0.11,0.1,0.04,0.08,0.17,0.0,0.0,0.1,0.06,0.03,0.13,0.04,0.0,0.0
ABL1,38.75,100.03,48.53,68.36,32.08,17.52,73.61,81.33,18.86,46.35,37.88,29.5,46.62,27.58,84.03,41.59,34.47
ABL2,13.87,29.32,11.53,28.84,14.89,8.69,18.33,19.98,6.52,13.21,50.65,9.1,7.44,11.69,34.5,16.8,10.6
ABLIM1,9.51,46.74,144.53,71.97,6.29,139.09,121.34,18.69,136.62,87.83,9.98,3.82,60.36,22.14,11.66,19.26,16.43
ABLIM2,0.73,0.15,0.17,2.81,0.1,1.86,0.04,13.11,0.42,0.0,0.27,0.03,0.82,28.65,23.1,2.08,0.07
ABLIM3,0.0,0.0,0.03,0.08,0.0,0.0,0.04,0.07,0.0,0.0,0.94,0.06,0.03,0.03,0.0,0.03,0.0
ABO,0.1,0.04,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0
ABR,9.28,62.26,19.89,18.66,16.86,31.67,120.54,39.48,47.63,25.72,11.82,35.15,72.16,3.02,1.39,24.8,117.76
ABRA,0.0,0.04,0.03,0.08,0.0,0.0,0.04,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
